期間,株式コード,上場コード,銘柄名称,終値
2023/04,1638,,ダイワ上場投信・ＴＯＰＩＸ－１７　医薬品,
2023/04,1639,,ダイワ上場投信・ＴＯＰＩＸ－１７　自動車,
2023/04,1640,,ダイワ上場投信・ＴＯＰＩＸ－１７　鉄鋼・,
2023/04,1641,,ダイワ上場投信・ＴＯＰＩＸ－１７　機械,
2023/04,1642,,ダイワ上場投信・ＴＯＰＩＸ－１７　電機・,
2023/04,1643,,ダイワ上場投信・ＴＯＰＩＸ－１７　情報通,
2023/04,1644,,ダイワ上場投信・ＴＯＰＩＸ－１７　電力・,
2023/04,1645,,ダイワ上場投信・ＴＯＰＩＸ－１７　運輸・,
2023/04,1646,,ダイワ上場投信・ＴＯＰＩＸ－１７　商社・,
2023/04,1647,,ダイワ上場投信・ＴＯＰＩＸ－１７　小売,
2023/04,1648,,ダイワ上場投信・ＴＯＰＩＸ－１７　銀行,
2023/04,1649,,ダイワ上場投信・ＴＯＰＩＸ－１７　金融（,
2023/04,1650,,ダイワ上場投信・ＴＯＰＩＸ－１７　不動産,
2023/04,1651,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指,1382.5
2023/04,1652,011,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍,2405
2023/04,1653,011,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧ,2604
2023/04,1654,011,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏ,1609.5
2023/04,1655,011,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　Ｅ,401.5
2023/04,1656,011,ｉシェアーズ・コア　米国債７－１０年　Ｅ,277.5
2023/04,1657,011,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（,3550
2023/04,1658,011,ｉシェアーズ・コア　ＭＳＣＩ　新興国株,2160
2023/04,1659,011,ｉシェアーズ　米国リート　ＥＴＦ,2507
2023/04,1660,011,ＭＡＸＩＳ高利回りＪリート上場投信,10440
2023/04,1661,,関東天然瓦斯開発,
2023/04,1662,011,石油資源開発,4500
2023/04,1663,011,Ｋ＆Ｏエナジーグループ,2416
2023/04,1670,,ＭＡＸＩＳ　Ｓ＆Ｐ三菱系企業群上場投信,
2023/04,1671,011,ＷＴＩ原油価格連動型上場投信,2452
2023/04,1677,011,上場インデックスファンド海外債券（ＦＴＳＥ　Ｗ,50200
2023/04,1678,011,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動,265.4
2023/04,1679,011,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ・ジョーンズ・,38750
2023/04,1680,011,上場インデックスファンド海外先進国株式（,4027
2023/04,1681,011,上場インデックスファンド海外新興国株式（,1647
2023/04,1682,011,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指,247
2023/04,1683,,Ｏｎｅ　ＥＴＦ　国内金先物,
