期間,株式コード,上場コード,銘柄名称,取引所
2023/04,1633,11,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ,1
2023/04,1634,,ダイワ上場投信・ＴＯＰＩＸ－１７　食品,
2023/04,1635,,ダイワ上場投信・ＴＯＰＩＸ－１７　エネル,
2023/04,1636,,ダイワ上場投信・ＴＯＰＩＸ－１７　建設・,
2023/04,1637,,ダイワ上場投信・ＴＯＰＩＸ－１７　素材・,
2023/04,1638,,ダイワ上場投信・ＴＯＰＩＸ－１７　医薬品,
2023/04,1639,,ダイワ上場投信・ＴＯＰＩＸ－１７　自動車,
2023/04,1640,,ダイワ上場投信・ＴＯＰＩＸ－１７　鉄鋼・,
2023/04,1641,,ダイワ上場投信・ＴＯＰＩＸ－１７　機械,
2023/04,1642,,ダイワ上場投信・ＴＯＰＩＸ－１７　電機・,
2023/04,1643,,ダイワ上場投信・ＴＯＰＩＸ－１７　情報通,
2023/04,1644,,ダイワ上場投信・ＴＯＰＩＸ－１７　電力・,
2023/04,1645,,ダイワ上場投信・ＴＯＰＩＸ－１７　運輸・,
2023/04,1646,,ダイワ上場投信・ＴＯＰＩＸ－１７　商社・,
2023/04,1647,,ダイワ上場投信・ＴＯＰＩＸ－１７　小売,
2023/04,1648,,ダイワ上場投信・ＴＯＰＩＸ－１７　銀行,
2023/04,1649,,ダイワ上場投信・ＴＯＰＩＸ－１７　金融（,
2023/04,1650,,ダイワ上場投信・ＴＯＰＩＸ－１７　不動産,
2023/04,1651,11,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指,1
2023/04,1652,11,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍,1
2023/04,1653,11,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧ,1
2023/04,1654,11,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏ,1
2023/04,1655,11,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　Ｅ,1
2023/04,1656,11,ｉシェアーズ・コア　米国債７－１０年　Ｅ,1
2023/04,1657,11,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（,1
2023/04,1658,11,ｉシェアーズ・コア　ＭＳＣＩ　新興国株,1
2023/04,1659,11,ｉシェアーズ　米国リート　ＥＴＦ,1
2023/04,1660,11,ＭＡＸＩＳ高利回りＪリート上場投信,1
2023/04,1661,,関東天然瓦斯開発,
2023/04,1662,11,石油資源開発,1
2023/04,1663,11,Ｋ＆Ｏエナジーグループ,1
2023/04,1670,,ＭＡＸＩＳ　Ｓ＆Ｐ三菱系企業群上場投信,
2023/04,1671,11,ＷＴＩ原油価格連動型上場投信,1
2023/04,1672,13,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,1
2023/04,1673,13,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,1
2023/04,1674,13,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,1
2023/04,1675,13,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資,1
2023/04,1676,13,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上,1
2023/04,1677,11,上場インデックスファンド海外債券（ＦＴＳＥ　Ｗ,1
2023/04,1678,11,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動,1
2023/04,1679,11,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ・ジョーンズ・,1
2023/04,1680,11,上場インデックスファンド海外先進国株式（,1
2023/04,1681,11,上場インデックスファンド海外新興国株式（,1
2023/04,1682,11,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指,1
2023/04,1683,,Ｏｎｅ　ＥＴＦ　国内金先物,
2023/04,1684,13,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信,1
2023/04,1685,13,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資,1
2023/04,1686,13,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資,1
